BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
10,"","","Gonzalez, Ricardo E.","A Software Configurable Processor","",,,"9","",2005,"","","https://pdfs.semanticscholar.org/89ad/640a6e704844a0098278e79a8ef06a934c62.pdf","","","","","Inc, Stretch","","","","","","","","","","assp, asic, fpga, gpu, dsp, cpu, configurable computing","",""
10,"","","WEBER, Charles; BERGLUND, C. Neil & GABELLA, Patricia","Mask cost and profitability in photomask manufacturing, an empirical analysis","",,,"11","",2006,"","","http://web.pdx.edu/~webercm/documents/2006%20November%20IEEE%20TSM%20Weber%20Berglund%20Gabella.pdf","","","","","University, Portland State","","","","","","","","An empirical study of the economics of manufacturing photomasks concludes that the uncontrolled growth of optical proximity effect correction and resolution enhancement techniques is driving up the cost of pattern generation and mask inspection to levels that threaten the profitability of photomask manufacturing. The intrinsic cost of some leading edge photomasks has already exceeded the price that customers are willing to pay for them. A model of the lifecycle of photomask manufacturing, developed from interviews involving the 1990 to 2005 operations of six mask shops and a survey of seven photomask manufacturers, shows that design for manufacturability (DFM) constitutes the most promising approach for alleviating this market impasse. Unilateral action by mask shops to increase their capital productivity is necessary but insufficient and perhaps unaffordable. DFM solutions will require the majority of participants in the lithography value chain to collaborate according to a volatile demand schedule that is driven by semiconductor manufacturers.","","masks, costs, profitability, photomask, manufacturing","",""
10,"","","Carton, Olivier","Transistors et portes logiques","",,,"9","",2006,"","","https://www.irif.fr/~carton/Enseignement/Architecture/Cours/Gates/","","","","","de Recherche en Informatique Fondamentale, Institut","","","","","","","","","","porte, gate, transistor, not, nand, nor, xor, cmos","",""
10,"","","Prado, Daniel Francisco Gómez","Tutorial on FPGA routing","",,,"8","",2006,"","","http://sisbib.unmsm.edu.pe/bibvirtualdata/publicaciones/electronica/n17_2006/a04.pdf","","","","","of Massachusetts, University","","","","","","","","The   entire   CAD   process   that   is   necessary   to   implement   a   circuit   in   an   FPGA   (from   the   RTL   description  of  the  design)  consists  of  the  following  steps: •Logic  optimization. Performs  two-level  or  multi-level    minimization    of    the    Boolean    equations    to    optimize    area,    delay,    or    a    combination of both.  •Technology     mapping.     Transforms     the     Boolean  equations  into  a  circuit  of  FPGA  logic  blocks.   This   step   also   optimizes   the   total   number     of     logic     blocks     required     (area     optimization)  or  the  number  of  logic  blocks  in  time-critical paths (delay optimization).  •Placement.  Selects  the  specific  location  for  each  logic  block  in  the  FPGA,  while  trying  to  minimize    the    total    length    of    interconnect    required. •Routing.   Connects   the   available   FPGA’s   routing    resources1    with    the    logic    blocks    distributed  inside  the  FPGA  by  the  placement  tool,   carrying   signals   from   where   they   are   generated to where they are used.","","routing, fpga, model","",""
10,"","","Unknown","6502 Schematic","",,,"11","",2007,"","","https://downloads.reactivemicro.com/Electronics/CPU/6502%20Schematic.pdf","","","","","Unknown","","","","","","","","","","6502, schematic","",""
10,"","","","Oral history panel on the development and promotion of the Motorola 68000","",,,"7","",2007,"","","https://archive.computerhistory.org/resources/access/text/2012/04/102658164-05-01-acc.pdf","","","","","Museum, Computer History","","","","","","","","","","68000, motorola","",""
10,"","","Drepper, Ulrich","What every programmer should know about memory, Part 1","",,,"9","",2007,"","","https://lwn.net/Articles/250967/","","","","","LWN","","","","","","","","In the early days computers were much simpler. The various components of a system, such as the CPU, memory, mass storage, and network interfaces, were developed together and, as a result, were quite balanced in their performance. For example, the memory and network interfaces were not (much) faster than the CPU at providing data.  This situation changed once the basic structure of computers stabilized and hardware developers concentrated on optimizing individual subsystems. Suddenly the performance of some components of the computer fell significantly behind and bottlenecks developed. This was especially true for mass storage and memory subsystems which, for cost reasons, improved more slowly relative to other components.  The slowness of mass storage has mostly been dealt with using software techniques: operating systems keep most often used (and most likely to be used) data in main memory, which can be accessed at a rate orders of magnitude faster than the hard disk. Cache storage was added to the storage devices themselves, which requires no changes in the operating system to increase performance. {Changes are needed, however, to guarantee data integrity when using storage device caches.} For the purposes of this paper, we will not go into more details of software optimizations for the mass storage access.","","","",""
10,"","","Weisberg, David E.","The Engineering Design Revolution","",,,"","",2008,"","","http://www.cadhistory.net/11%20CALMA.pdf","","","","","","","","","","","","","","","cad, engineering, calma","",""
10,"","","Wayne Wolf, Ahmed Amine Jerraya & Martin, Grant","Multiprocessor System-on-Chip (MPSoC) Technology","",,,"10","",2008,"","","http://www.cs.unc.edu/~montek/teaching/Comp790-Fall11/Home/Home_files/2008Wolf.pdf","","","","","IEEE","","","","","","","","The  multiprocessor  system-on-chip  (MPSoC)  usesmultiple  CPUs  along  with  other  hardware  subsystems  to  imple-ment a system. A wide range of MPSoC architectures have beendeveloped over the past decade. This paper surveys the history ofMPSoCs to argue that they represent an important and distinctcategory of computer architecture. We consider some of the tech-nological trends that have driven the design of MPSoCs. We alsosurvey computer-aided design problems relevant to the design ofMPSoCs","","Configurable processors, encoding, hardware/software codesign, multiprocessor, multiprocessor system-on-chip(MPSoC)","",""
10,"","","Articles, A. R. M.  Technical Support Knowledge","What is the difference between a von Neumann architecture and a Harvard architecture?","",,,"9","",2008,"","","http://infocenter.arm.com/help/index.jsp?topic=/com.arm.doc.faqs/ka3839.html","","","","","Limited, A. R. M.","","","","","","","","","","von neumann, harvard, architecture","",""
10,"","","Fouquet-Lapar, Matthias","The von Neumann Architecture and Alternatives","",,,"5","",2008,"","","https://wwz.ifremer.fr/pcdm/content/download/29481/407627/file/mfl.pdf","","","","","SGI","","","","","","","","","","von neumann, bottleneck, xpp, hpc, fpga, gpu, ibm cell","",""
10,"","","","Altera EP300 Design \& Development Oral History Panel","",,,"10","",2009,"","","https://archive.computerhistory.org/resources/access/text/2012/10/102702147-05-01-acc.pdf","","","","","Museum, Computer History","","","","","","","","","","altera, ep300, interview, Source III","",""
10,"","","McGrath, Dylan","FPGA startups stare down giants and ghosts","",,,"7","",2009,"","","https://www.eetimes.com/document.asp?doc_id=1263547","","","","","Times, Electronic Engineering","","","","","","","","","","timeline, fpga, vendors, xilinx, altera","",""
10,"","","Jeff Chase, Brent Nelson, John Bodily Zhaoyi Wei & Lee, Dah-Jye","Real-Time Optical Flow Calculations on FPGA and GPU Architectures: AComparison Study","",,,"4","",2009,"","","https://www.researchgate.net/profile/Lee_Dah-Jye/publication/224362818_Real-Time_Optical_Flow_Calculations_on_FPGA_and_GPU_Architectures_A_Comparison_Study/links/0c9605327135c229e0000000.pdf","","","","","University, Brigham Young","","","","","","","","FPGA devices have often found use as higher-performance alternatives to programmable processors for implementing a variety of computations. Applications successfully implemented on FPGAs have typically contained high levels of parallelism and have often used simple statically-scheduled control and modest arithmetic. Recently introduced computing devices such as coarse grain reconfigurable arrays, multi-core processors, and graphical processing units (GPUs) promise to significantly change the computational landscape for the implementation of high-speed real-time computing tasks. One reason for this is that these architectures take advantage of many of the same application characteristics that fit well on FPGAs. One real-time computing task, optical flow, is difficult to apply in robotic vision applications in practice because of its high computational and data rate requirements, and so is a good candidate for implementation on FPGAs and other custom computing architectures. In this paper, a tensor-based optical flow algorithm is implemented on both an FPGA and a GPU and the two implementations discussed. The two implementations had similar performance, but with the FPGA implementation requiring 12×more development time. Other comparison data for these two technologies is then given for three additional applications taken froma MIMO digital communication system design, providing additional examples of the relative capabilites of these two technologies.","","fpga, gpu, comparison","",""
10,"","","Kidd, Taylor IoT","Why P scales a C*V^2*f is so obvious","",,,"6","",2009,"","","https://software.intel.com/en-us/blogs/2009/06/29/why-p-scales-as-cv2f-is-so-obvious","","","","","Zone, Intel Developer","","","","","","","","","","power, energy, consumption, cmos, physics","",""
10,"","","","Kit d’apprentissage de l’électronique pour débutants","",,,"7","",2009,"","","https://produktinfo.conrad.com/datenblaetter/175000-199999/192230-an-01-fr-LERNPAKET_25_ELEKTRONIK_EXPERIMENTE.pdf","","","","","Conrad","","","","","","","","","","électronique, composants, conrad, circuit","",""
10,"","","Jones, David H.; Powell, Adam; Bouganis, Christos-Savvas & Cheung, Peter Y. K.","GPU versus FPGA for high productivity computing","",,,"8","",2010,"","","http://cas.ee.ic.ac.uk/people/ccb98/papers/DavidFPL10.pdf","","","","","London, Imperial College","","","","","","","","Heterogeneous or co-processor architectures arebecoming an important component of high productivity computing systems (HPCS). In this work the performance of a GPU based HPCS is compared with the performance of a commercially available FPGA based HPC. Contrary to previous approaches that focussed on specific examples, a broader analysis is performed by considering processes at an architectural level. A set of benchmarks is employed that use different process architectures in order to exploit the benefits of each technology. These include the asynchronous pipelines common to “map” tasks, a partially synchronous tree common to “reduce” tasks and a fully synchronous, fully connected mesh. We show that the GPU is more productive than the FPGA architecture for most of the benchmarks and conclude that FPGA-based HPCS is being marginalised by GPUs.","","hpcs, high productivity computing system, architecture, gpu, fpga, comparison","",""
10,"","","Kalarot, Ratheesh & Morris, John","Comparison of FPGA and GPU implementations of Real-time Stereo Vision","",,,"5","",2010,"","","https://www.researchgate.net/profile/John_Morris25/publication/224165460_Comparison_of_FPGA_and_GPU_implementations_of_real-time_stereo_vision/links/0f317539b0c42b50be000000.pdf","","","","","of Auckland / IEEE, The University","","","","","","","","Real-time stereo vision systems have many applications -from autonomous navigation for vehicles through surveillance to materials handling. Accurate scene interpretation depends on an ability to process high resolution images in real-time, but, although the calculations for stereo matching are basically simple, a practical system needs to evaluate at least 10-9 disparities every second - beyond the capability of a single processor. Stereo correspondence algorithms have high degrees of inherent parallelism and are thus good candidates for parallel implementations. In this paper, we compare the performance obtainable with an FPGA and a GPU to understand the trade-off between the flexibility but relatively low speed of an FPGA and the high speed and fixed architecture of the GPU. Our comparison highlights the relative strengths and limitations of the two systems. Our experiments show that, for a range of image sizes, the GPU manages 2×10-9 disparities per second, compared with 2.6×10-9 disparities per second for an FPGA.","","gpu, fpga, comparison","",""
10,"","","Cox, Russ","The MOS 6502 and the Best Layout Guy in the World","",,,"1","",2011,"","","https://research.swtch.com/6502","","","","","","","","","","","","","What are the key designs of the 6502 compared to other processors of its time","","","",""
10,"","","Culver, John","How a CPU Microprocessor is made","",,,"4","",2011,"","","http://www.cpushack.com/MakingWafers.html","","","","","Shack, The C. P. U.","","","","","","","","","","wafer, silicon, fabrication","",""
10,"","","Feugey, David","Altera mise sur l’OpenCL pour révolutionner le monde des FPGA","",,,"11","",2011,"","","https://www.silicon.fr/altera-mise-sur-l%E2%80%99opencl-pour-revolutionner-le-monde-des-fpga-65255.html","","","","","","","","","","","","","","","opencl, cuda, gpu, fpga, altera","",""
10,"","","Johnson, Jeff","Outsourcing FPGA design: pros and cons","",,,"8","",2011,"","","http://www.slideshare.net/jeffjohnsonau/outsourcing-fpga-design-pros-and-cons","","","","","","","","","","","","","manage fluctuating workloads, specialized expertise (learning curve is steep and long, experienced FPGA developers are hard to find), start projects sooner, greater flexibility","","outsourcing, fpga","",""
10,"","","VERRY, Tim","Apple’s A6 processor uses hand drawn ARM cores to boost performance","",,,"9","",2012,"","","https://pcper.com/2012/09/apples-a6-processor-uses-hand-drawn-arm-cores-to-boost-performance/","","","","","Perspective, P. C.","","","","","","","","","","ARM, A15, Apple, A6, iPhone 5,hand drawn","",""
10,"","","Nenni, Daniel","A Brief History of FPGAs","",,,"8","",2012,"","","https://semiwiki.com/fpga/1596-a-brief-history-of-fpgas/","","","","","","","","","","","","","","","xilinx, fpga, history","",""
10,"","","persons, Various","What are some examples of non-Von Neumann architectures?","",,,"11","",2012,"","","https://stackoverflow.com/questions/1806490/what-are-some-examples-of-non-von-neumann-architectures","","","","","StackOverflow","","","","","","","","","","von neumann, architecture, harvard, dataflow, reduction, cellular automata, quantum computing","",""
10,"","","Fowers, Jeremy; Brown, Greg; Cooke, Patrick & Stitt, Greg","A performance and energy comparison of FPGAs, GPUs and Multicores for sliding-window applications","",,,"2","",2012,"","","http://www.gstitt.ece.ufl.edu/courses/spring13/eel4712/lectures/fpga130-fowers.pptx","","","","","of Florida, University","","","","","","","","","","performance, energy, comparison, fpga, gpu, multicore","",""
10,"","","","An FPGA-based supercomputer for statistical physics: the weird case of Janus","",,,"5","",2012,"","","https://www.eweb.unex.es/eweb/fisteor/juan/PUBLICATIONS/janusSubmitted.pdf","","","","","","","","","","","","","","","","",""
10,"","","","P.A. Semi","",,,"","",2013,"","","https://en.wikipedia.org/wiki/P.A._Semi","","","","","Wikipedia","","","","","","","","","","fabless, semiconductor, acquisition, Apple","",""
10,"","","","Electrically Erasable Programmable Logic PEEL 18CV8","",,,"7","",2013,"","","https://www.datasheetarchive.com/pdf/download.php?id=3ae6b7f4f1c26b281f249beac3c15d411ba916&type=O","","","","","Electronics, Gould","","","","","","","","","","","",""
10,"","","","Implementing FPGA design with the OpenCL standard","",,,"11","",2013,"","","https://www.intel.com/content/dam/www/programmable/us/en/pdfs/literature/wp/wp-01173-opencl.pdf","","","","","Altera","","","","","","","","The initial era of programmable technologies contained two different extremes of programmability. As illustrated in Figure 1, one extreme was represented by single core CPU and digital signal processing (DSP) units. These devices were programmable using software consisting of a list of instructions to be executed. These instructions were created in a manner that was conceptually sequential to the programmer, although an advanced processor could reorder instructions to extract instruction-level parallelism from these sequential programs at run time. In contrast, the other extreme of programmable technology was represented by the FPGA. These devices are programmed by creating configurable hardware circuits, which execute completely in parallel. A designer using an FPGA is essentially creating a massively-fine-grained parallel application. For many years, these extremes coexisted with each type of programmability being applied to different application domains. However, recent trends in technology scaling have favored technologies that are both programmable and parallel.","","opencl, altera, fpga","",""
10,"","","Miller, Warren","Configurable processors as an alternative to FPGAs","",,,"7","",2013,"","","https://www.eetimes.com/author.asp?section_id=36&doc_id=1318804","","","","","Times, Electronic Engineering","","","","","","","","An exploration of using configurable processors as an alternative to the traditional FPGA approach to creating a custom system.","","configurable processor, fpga, isef","",""
10,"","","Higginbotham, Stacey","Why Microsoft is building programmable chips that specialize in search","",,,"6","",2014,"","","https://gigaom.com/2014/06/16/why-microsoft-is-building-programmable-chips-that-specialize-in-search/","","","","","GigaOM","","","","","","","","","","microsoft, fpga, cpu, comparison","",""
10,"","","Hindriksen, Vincent","Why use OpenCL on FPGAs?","",,,"9","",2014,"","","https://streamhpc.com/blog/2014-09-16/use-opencl-fpgas/","","","","","StreamHPC","","","","","","","","Altera has just released the free ebook FPGAs for dummies. One part of the book is devoted to OpenCL, so we’ll quote some extracts here from one of the chapters. The rest of the book is worth a read, so if you want to check the rest of the text, just fill in the form on Altera’s webpage","","altera, fpgas for dummies, opencl","",""
10,"","","VAndrei","Von Neumann vs Harvard architecture","",,,"11","",2014,"","","https://stackoverflow.com/questions/26826248/von-neumann-vs-harvard-architecture","","","","","StackOverflow","","","","","","","","","","von neumann, harvard, architecture","",""
10,"","","Jones, Dr. Handel","Why migration to 20 nm bulk CMOS and 16/14 nm FinFets is not best approach for semiconductor industry","",,,"1","",2014,"","","http://caxapa.ru/thumbs/598000/WP_handel-jones.pdf","","","","","Strategies, International Business","","","","","","","","The growth of the semiconductor industry hashistoricallyhad strong dependenceon the reduction in cost  per  transistor.The  analysisof  the  cost per  gate at  20nm,  however,indicates  that  conventional scaling approaches for bulk CMOS have reached saturation. Asimilar perspective exists for the initial generation of FinFET structuresat 16/14nm where cost per gateis higher than for 20nm and 28nm.High volume applicationsneed lower cost per transistorin order to use the new generation of process technologies.This  pattern  has  been  consistent  since  the  development  of  integrated  circuits.  It  is,consequently, appropriate to evaluate the optionsfor continuing the pattern of lower cost per gate.","","economic, cmos, engraving, semiconductor, cost per transistor","",""
10,"","","McMillan, John","PCB design then and now","",,,"7","",2015,"","","https://blogs.mentor.com/jimmartens/blog/2015/07/14/pcb-design-then-and-now/","","","","","Mentor, a Siemens Business","","","","","","","","","","pcb, cad, calma, digitizing","",""
10,"","","Franz, Kaitlyn","History of the FPGA","",,,"1","",2015,"","","https://blog.digilentinc.com/history-of-the-fpga/","","","","","Inc, Digilent","","","","","","","","","","fpga, timeline, technology","",""
10,"","","","Intel completes acquisition of Altera","",,,"12","",2015,"","","https://newsroom.intel.com/news-releases/intel-completes-acquisition-of-altera/","","","","","Intel","","","","","","","","Intel Corporation (“Intel”) today announced that it has completed the acquisition of Altera Corporation (“Altera”), a leading provider of field-programmable gate array (FPGA) technology. The acquisition complements Intel’s leading-edge product portfolio and enables new classes of products in the high-growth data center and Internet of Things (IoT) market segments.","","","",""
10,"","","Higginbotham, Stacey","Why Intel will spend $16.7 billion on Altera","",,,"8","",2015,"","","http://fortune.com/2015/08/27/why-intel-altera/","","","","","Fortune","","","","","","","","","","acquisition, intel, altera","",""
10,"","","Harris, Derrick","Microsoft is building fast, low-power neural networks with FPGAs","",,,"2","",2015,"","","https://gigaom.com/2015/02/23/microsoft-is-building-fast-low-power-neural-networks-with-fpgas/","","","","","GigaOM","","","","","","","","","","microsoft, ai, fpga, neural network","",""
10,"","","Ovtcharov, Kalin; Ruwase, Olatunji; Kim, Joo-Young; Fowers, Jeremy; Strauss, Karin & Chung, Eric S.","Accelerating deep convolutional neural networks using specialized hardware","",,,"2","",2015,"","","https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/CNN20Whitepaper.pdf","","","","","Research, Microsoft","","","","","","","","Recent breakthroughsin the development of multi-layer convolutional neural networkshave led to state-of-the-art improvements in the accuracy of non-trivial recognition tasks such as large-category image classificationand automaticspeech recognition.These many-layered neural networks are large, complex,and require substantial computingresourcesto train and evaluate. Unfortunately, these demands come at an inopportunemoment due to the recent slowing of gains in commodity processor performance.Hardware specializationin the form of GPGPUs, FPGAs, and ASICs offers a promising path towards major leaps in processing capabilitywhile achieving high energy efficiency. To harness specialization, an effort is underwayat Microsoft to accelerate Deep Convolutional Neural Networks (CNN) usingservers augmented with FPGAs—similar to the hardware that is being integrated intosome of Microsoft’s datacenters. Initial efforts to implement a single-node CNN accelerator on a mid-rangeFPGA showsignificant promise, resulting in respectableperformance relative to prior FPGA designs and high-end GPGPUs, at a fraction of the power. In the future, combining multiple FPGAs over a low-latency communication fabric offers further opportunity to train and evaluate models of unprecedented size and quality","","microsoft, neural network, ai, fpga","",""
10,"","","",""Les grands mythes fondateurs" des nanos : la loi de Moore ou l'héritage du talk de Feynman de 1959","",,,"6","",2015,"","","http://www.unit.eu/cours/enjeux-nanosciences-nanotechnologies/Module3-FR.pdf","","","","","et Technologie), U. N. I. T.  (Université Numérique Ingénierie","","","","","","","","Précisions sur les prévisions de Gordon Earle Moore et la fameuse loi de Moore.","","myth, moore's law, richard feynman, nanotechnology","",""
10,"","","Kidd, Taylor IoT","Why P scales as C*V^2*f is so obvious (pt 2)","",,,"1","",2015,"","","https://software.intel.com/en-us/blogs/2009/08/25/why-p-scales-as-cv2f-is-so-obvious-pt-2-2","","","","","Zone, Intel Developer","","","","","","","","","","power, energy, consumption, cmos, physics","",""
10,"","","","The end of Moore’s law","",,,"4","",2015,"","","https://www.economist.com/the-economist-explains/2015/04/19/the-end-of-moores-law","","","","","Economist, The","","","","","","","","","","moore, future, computing","",""
10,"","","Dettmers, Tim","Is implementing deep learning on FPGAs a natural next step after the success with GPUs?","",,,"4","",2015,"","","https://www.quora.com/Is-implementing-deep-learning-on-FPGAs-a-natural-next-step-after-the-success-with-GPUs","","","","","","","","","","","","","","","deep learning, fpga, gpu","",""
10,"","","","Cilbr8tor Series","",,,"","",2016,"","","https://www.ucamco.com/en/hardware/photoplotters/calibr8tor/calibr8tor-series","","","","","Ucamco, former Barco E. T. S.","","","","","","","","","","photoplotter","",""
10,"","","HKallaher, Brandon","PAL vs. CPLD vs. FPGA","",,,"8","",2016,"","","https://blog.digilentinc.com/pal-vs-cpld-vs-fpga/","","","","","Blog, Digilent","","","","","","","","","","pal, cpld, fpga, comparison, use case","",""
10,"","","Denisenko, Dmitry","OpenCL for FPGAs","",,,"6","",2016,"","","https://cpufpga.files.wordpress.com/2016/04/opencl_for_fpgas_isca_2016.pdf","","","","","Intel","","","","","","","","","","opencl, fpga, altera, intel","",""
10,"","","Eijkhout, Victor","Are there alternatives to the Von Neumann architecture?","",,,"1","",2016,"","","https://www.quora.com/Are-there-alternatives-to-the-Von-Neumann-architecture","","","","","Quora","","","","","","","","","","alternative, von neumann, dataflow","",""
